Sat. Nov. 17, 2012             LANDSAT 5                 Time: 15:16
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L5217831            Path/Row: 170 / 072

L0R Reference Image: L51XXX1084366071600_HDF.123222104
Acquisition Date: Dec 31, 1984

Band Number:  5

GeoCover date for each WRS-2 path/row used:
Path  Row   Date
170   072   2000-09-30


Point_ID      Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                   Scan      Scan      In y      in x
                                                 Residual  Residual    dir       dir
                (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)

1700720001  -16.572871   30.459491  1037.686       0.554     0.738     0.447     0.807
1700720002  -17.733849   30.232733  1326.333      -5.572     0.891    -5.634     0.121
1700720003  -17.796539   31.106117  1532.847       5.317     2.201     4.955     2.899
1700720005  -17.649699   30.126370  1246.443      -3.333    -0.759    -3.194    -1.206
1700720006  -16.867314   30.655683  1193.207      -3.752    -4.626    -3.075    -5.091
1700720007  -17.892402   29.982447  1029.373       6.628    -0.087     6.573     0.819
1700720009  -17.731527   30.146268  1263.726      -0.082    -1.682     0.149    -1.675
1700720010  -16.674063   30.801449  1276.979       0.363     3.687    -0.148     3.696
1700720013  -17.846328   31.042763  1469.717      -1.256     1.776    -1.484     1.585
1700720014  -17.618901   30.040419  1171.382      -1.831    -0.271    -1.774    -0.518
1700720015  -17.821729   30.377894  1330.512       0.239     1.504     0.031     1.520
1700720018  -17.701988   30.071842  1182.641      -1.328     0.291    -1.354     0.107
1700720019  -17.807361   30.000564  1080.178       2.739     0.864     2.593     1.229
1700720020  -17.835326   29.969836  1073.446       2.776    -2.923     3.147    -2.515
1700720022  -17.889833   30.009082  1071.959       1.836    -6.012     2.638    -5.700
1700720023  -17.852246   30.048744  1081.679      -4.763    -0.242    -4.681    -0.890
1700720024  -17.768256   30.138617  1242.621      -1.147     1.524    -1.342     1.351
1700720026  -17.694014   30.937537  1487.632       4.791    -0.014     4.737     0.640
1700720027  -17.505531   31.145034  1351.901      -1.733     1.503    -1.919     1.249
1700720029  -17.666803   30.073825  1153.903      -5.449    -0.634    -5.305    -1.373
1700720033  -17.854766   30.277828  1259.599      -2.371     2.373    -2.669     2.024
